transcript_id,num_exon
LOC100692951,3
LOC100693201,2
LOC100693210,3
LOC100694375,2
LOC100695241,3
LOC100695503,3
LOC100697559,2
LOC100698364,2
LOC100698964,3
LOC100699464,2
LOC100699871,2
LOC100701123,2
LOC100701627,4
LOC100703213,2
LOC100711528,2
LOC100711718,2
LOC102075520,2
LOC102075591,2
LOC102075630,2
LOC102075657,2
LOC102075661,3
LOC102075680,2
LOC102075747,2
LOC102075768,2
LOC102075915,2
LOC102076078,2
LOC102076165,2
LOC102076240,2
LOC102076364,2
LOC102076501,2
LOC102076541,5
LOC102076642,2
LOC102076682,2
LOC102076925,3
LOC102077112,2
LOC102077128,2
LOC102077194,2
LOC102077744,2
LOC102077834,2
LOC102078039,2
LOC102078057,2
LOC102078151,3
LOC102078557,2
LOC102078929,4
LOC102078942,2
LOC102079018,2
LOC102080414,2
LOC102080980,6
LOC102081044,2
LOC102081108,2
LOC102081339,1
LOC102081409,4
LOC102081724,2
LOC102081828,2
LOC102081913,3
LOC102082789,2
LOC102082969,2
LOC102083215,4
LOC102083233,2
LOC102083289,2
LOC102083336,3
LOC106096474,10
LOC106096711,2
LOC106096712,2
LOC106096721,2
LOC106096722,2
LOC106096725,2
LOC106096728,2
LOC106097047,2
LOC106097176,2
LOC106097355,5
LOC106097364,2
LOC106097557,4
LOC106097629,2
LOC106098051,3
LOC106098055,2
LOC106098056,2
LOC109194582,2
LOC109194584,3
LOC109195398,3
LOC109195399,4
LOC109195400,3
LOC109195401,2
LOC109195402,2
LOC109195403,3
LOC109195409,2
LOC109195410,2
LOC109195795,2
LOC109195800,2
LOC109195801,2
LOC109195803,2
LOC109195806,2
LOC109195807,3
LOC109195808,2
LOC109195809,2
LOC109195810,2
LOC109195811,2
LOC109195812,3
LOC109195815,2
LOC109195876,2
LOC109195879,2
LOC109195880,2
LOC109195882,2
LOC109195883,2
LOC109195884,2
LOC109195885,2
LOC109195888,2
LOC109195889,2
LOC109195890,2
LOC109195891,2
LOC109195892,2
LOC109195893,2
LOC109195894,2
LOC109195895,2
LOC109195896,2
LOC109195898,2
LOC109195899,2
LOC109195900,2
LOC109195901,2
LOC109195902,2
LOC109195903,2
LOC109195904,1
LOC109195905,3
LOC109195906,3
LOC109195907,2
LOC109195929,2
LOC109195933,2
LOC109195934,2
LOC109195936,2
LOC109196386,2
LOC109196593,2
LOC109196594,2
LOC109196595,2
LOC109196596,2
LOC109196597,2
LOC109196599,2
LOC109196600,2
LOC109196602,2
LOC109196603,2
LOC109196604,2
LOC109196606,2
LOC109196607,2
LOC109196608,2
LOC109196609,2
LOC109196610,2
LOC109197922,2
